metric,base_model,digital_krishna_sft,evaluation_method,status
understanding,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
empathy,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
actionability,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
cultural_relevance,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
hindi_quality,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
hinglish_quality,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
instruction_following,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
safety,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
blind_preference_rate,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
unsupported_quotation_rate,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
average_latency_seconds,[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],[REAL_VALUE_REQUIRED],pending
